gene_name	A1	A2	A3	AV1	AV2	AV3
1700028P15Rik	0	0	0	0	0	0
1700029B22Rik	0	0	0	0	0	0
1700029B24Rik	0	0	0	0	0	0
1700029E06Rik	0	0	0	0	0	0
1700029F12Rik	0	0	0	0	0	0
1700029H14Rik	0	0	0	0	0	0
1700029J03Rik	0	0	0	1	0	0
1700029J07Rik	4	9	5	1	4	5
1700029K24Rik	4	5	9	7	9	15.068
1700029M03Rik	0	0	0	0	0	0
1700029M20Rik	0	0	0	0	0	0
1700029N11Rik	0	0	0	0	0	0
1700030A11Rik	0	0	0	0	0	0
1700030C10Rik	8.852	12.946	19.882	16	7	33.618
1700030C12Rik	0	0	2	0	0	1
1700030C14Rik	2	0	1	0	0	0
1700030E10Rik	0	0	0	0	0	0
1700030F04Rik	0	0	0	0	0	0
1700030I03Rik	0	0	0	0	0	0
1700030J22Rik	5	4	8	7	2	5
1700030K09Rik	52.664	88.011	112.07	88.738	83.817	136.305
1700030L20Rik	0	0	0	0	0	0
1700030L22Rik	0	0	0	0	0	0
1700030M09Rik	0	0	0	0	0	0
1700030N03Rik	0	0	0	0	0	0
1700030N18Rik	0	0	0	0	0	0
1700030O20Rik	0	0	0	0	0	0
1700031A10Rik	1	0	0	0	0	0
1700031C06Rik	1	0	0	1	2	1
1700031F05Rik	0	0	0	0	0	0
1700031F10Rik	0	0	0	0	0	0
1700031L13Rik	0	0	0	0	0	0
1700031M16Rik	0	0	0	0	0	0
1700031P21Rik	0	0	0	0	0	0
1700034B16Rik	0	0	0	0	0	0
1700034E13Rik	0	0	0	0	0	0
1700034G24Rik	0	0	0	0	0	0
1700034H15Rik	3.696	8.31	0	3.596	1.207	4.468
1700034J04Rik	0	0	0	0	0	0
1700034J05Rik	0	0	0	0	0	0
1700034K08Rik	0	0	0	0	0	0
1700034P13Rik	22.528	27.574	11.813	10.852	8.213	17.157
1700036A12Rik	0	0	0	0	0	0
1700036G14Rik	0	0	0	0	0	0
1700036O09Rik	0	0	0	0	0	0
1700037C06Rik	0	0	0	0	0	0
1700037C18Rik	26.2	44.251	39.432	41.501	25.957	59.45
1700037F03Rik	0	0	0	0	0	0
1700039E22Rik	0	0	0	0	0	0
1700039I01Rik	0	0	0	0	0	0
1700039M10Rik	0	0	0	0	0	0
1700039M15Rik	0	0	0	0	0	1
1700039O17Rik	0	0	0	0	0	0
1700040D17Rik	0	0	0	1	0	0
1700040E09Rik	0	0	0	0	0	0
1700040F15Rik	0	0	0	0	0	0
1700040F17Rik	0	0	0	0	0	0
1700040K01Rik	0	0	0	0	0	0
1700040L08Rik	0	0	0	1.003	0	1.003
1700041B01Rik	0	0	0	0	0	0
1700041C23Rik	0	0	0	0	0	0
1700041G16Rik	2	0	0	0	0	0
1700041I07Rik	0	0	0	0	0	0
1700041M05Rik	0	0	0	0	0	0
1700041M19Rik	0	0	0	0	0	0
1700042D02Rik	0	0	0	0	0	0
1700042G15Rik	0	0	0	0	0	0
1700042O05Rik	0	0	0	0	0	0
1700042O10Rik	0	0	0	0	0	0
1700044C05Rik	0	0	0	0	0	0
1700044K03Rik	0	0	0	0	0	0
1700045H11Rik	0	0	0	0	0	0
1700045I11Rik	0	0	0	0	0	0
1700046C09Rik	0	0	0	0	0	0
1700047A11Rik	0	0	0	0	0	0
1700047E10Rik	0	0	0	0	0	0
1700047F07Rik	0	0	0	0	0	0
1700047G03Rik	0	0	0	0	0	0
1700047G07Rik	0	0	0	0	0	0
1700047K16Rik	0	2	1	1	1	1
1700047L14Rik	0	0	0	0	0	0
1700047M11Rik	1	0	2	0	5	1
1700047N06Rik	0	0	0	0	0	0
1700047O18Rik	1	0	0	0	0	0
1700048F04Rik	0	0	0	0	0	0
1700048M11Rik	0	1	0	0	0	1
1700048O14Rik	0	0	0	0	0	0
1700048O20Rik	0	0	0	0	0	0
1700048P04Rik	0	0	0	0	0	0
1700049E15Rik	0	0	0	0	0	0
1700049E17Rik1	0	0	0	0	0	0
1700049E17Rik2	0	0	0	0	0	0
1700049E22Rik	0	0	0	0	0	0
1700049L16Rik	0	0	0	0	0	0
1700051A21Rik	0	0	0	0	0	0
1700051K13Rik	0	1	0	0	0	0
1700051O22Rik	0	0	0	1	0	0
1700052H01Rik	0	0	0	0	0	0
1700052I22Rik	0	0	0	0	0	0
1700052K11Rik	16.11	18.588	28	27	25.054	35
1700054A03Rik	0	0	0	0	0	0
1700054K02Rik	0	0	0	0	0	0
1700054K19Rik	0	0	0	0	0	0
1700054M17Rik	0	0	0	0	0	0
1700054O05Rik	0	0	0	0	0	0
1700054O19Rik	0	0	2	0	0	0
1700055C04Rik	0	0	0	0	0	0
1700055D18Rik	0	0	1.731	4.069	3.608	0
1700056E22Rik	3	2	1	1	1	2
1700056N10Rik	9	8	6	11	9	21
1700057G04Rik	0	0	0	0	0	0
1700057H15Rik	0	0	0	0	0	0
1700057H21Rik	0	0	0	0	0	0
1700058P15Rik	6	6	0	6	10	4
1700060C16Rik	0	0	0	0	0	0
1700060C20Rik	0	0	0	0	0	0
1700060J05Rik	0	0	0	3	0	0
1700060O08Rik	0	0	0	0	0	0
1700061A03Rik	0	0	0	0	0	0
1700061E17Rik	0	1	0	0	0	0
1700061E18Rik	0	0	0	0	0	0
1700061F12Rik	0	0	0	0	0	0
1700061H18Rik	0	0	0	0	0	0
1700061I17Rik	0	0	0	0	0	0
1700061J23Rik	0	0	0	0	0	0
1700061N14Rik	0	0	0	0	0	0
1700062C10Rik	0	0	0	0	0	0
1700063A18Rik	0	0	0	0	0	0
1700063D05Rik	0	0	0	0	0	0
1700063H04Rik	0	0	0	0	0	0
1700063H06Rik	0	0	0	0	0	0
1700063I16Rik	0	0	0	0	0	1
1700063J08Rik	3	2	1	1	2	0
1700063K16Rik	0	0	0	0	0	0
1700063O14Rik	0	0	0	0	0	0
1700064H15Rik	0	0	0	0	0	0
1700064J06Rik	0	0	0	0	0	0
1700064M15Rik	0	0	0	0	0	0
1700064N11Rik	0	0	2	0	1	1
1700065D16Rik	0	0	1	0	0	0
1700065I16Rik	0	0	0	0	0	0
1700065J11Rik	0	0	0	0	0	0
1700065J18Rik	0	0	0	0	0	0
1700065L07Rik	0	0	0	0	0	0
1700065O20Rik	0	0	0	0	0	0
1700066B17Rik	0	1	0	0	0	0
1700066C05Rik	0	0	0	0	0	0
1700066J03Rik	1	1	0	2	0	0
1700066M21Rik	61	86	73	84	94	96
1700066N21Rik	0	0	0	0	0	0
1700066O22Rik	0	0	0	0	0	0
1700067G17Rik	0	0	0	0	0	0
1700067K01Rik	2	0	0	2	1	0
1700067P10Rik	0	0	0	0	0	0
1700069B07Rik	2	4	0	3	1	7
1700069L16Rik	0	0	0	0	0	0
1700069P05Rik	0	0	0	0	0	0
1700071G01Rik	0	0	0	0	0	0
1700071K01Rik	0	0	3	0	0	0
1700071M16Rik	0	0	3	0	1	1
1700072B07Rik	0	0	0	0	0	0
1700072G22Rik	3	0	0	3	4	0
1700072O05Rik	0	0	0	0	0	0
1700073E17Rik	0	0	0	0	0	0
1700074A21Rik	0	0	0	0	0	0
1700074H08Rik	0	0	0	0	0	0
1700080C20Rik	0	0	0	0	0	0
1700080G18Rik	0	1	0	1	0	0
1700080N15Rik	0	0	0	0	0	0
1700081B01Rik	0	0	0	0	0	0
1700081H04Rik	0	0	0	0	0	0
1700081N11Rik	0	0	0	0	0	0
1700082M22Rik	0	2	0	0	0	0
1700083H02Rik	0	0	0	0	0	0
1700084C06Rik	4.699	1.677	3.073	0	1.017	4.097
1700084D21Rik	0	0	0	0	0	0
1700084E18Rik	2	0	3	0	0	2.001
1700084F23Rik	0	0	0	0	0	0
1700084J12Rik	0	0	0	0	0	0
1700084M14Rik	0	0	0	0	0	0
1700085C21Rik	0	0	0	0	0	0
1700085D07Rik	0	0	0	0	0	0
1700085D22Rik	8	23	11	14	17	30
1700086D15Rik	0	0	0	0	0	0
1700086L19Rik	0	0	0	0	0	0
1700086O06Rik	8	8	11.999	12.159	9	10
1700086P04Rik	1	1	2	4	2	1
1700087I21Rik	2	0	2	1	2	4
1700087M22Rik	0	0	0	0	0	0
1700088E04Rik	4.99	3.143	12.643	12.694	18.503	15.089
1700091H14Rik	0	0	0	0	0	0
1700092C02Rik	0	0	0	0	0	0
1700092C10Rik	0	0	0	0	0	0
1700092C17Rik	0	0	0	0	0	0
1700092E16Rik	0	0	0	0	0	0
1700092E19Rik	0	0	0	0	0	0
1700092K14Rik	0	0	0	0	0	0
1700093J21Rik	0	0	0	0	0	0
1700093K21Rik	0	0	0	0	0	0
1700093P08Rik	0	0	0	0	0	0
1700094J05Rik	0	0	0	0	0	0
1700094M23Rik	0	0	0	0	0	0
1700094M24Rik	0	0	0	0	0	0
1700095A13Rik	0	0	0	0	0	0
1700095A21Rik	0	0	0	0	0	0
1700095B10Rik	0	0	0	0	0	0
1700095J03Rik	0	0	0	0	0	0
1700095J07Rik	0	0	0	0	0	0
1700095J12Rik	0	0	0	0	0	0
1700095K22Rik	0	0	0	0	0	0
1700096J18Rik	0	0	1	0	0	0
1700096K18Rik	4	7	7	12	11	10
1700097M23Rik	0	0	0	0	0	0
1700097N02Rik	1	0	0	0	0	1
1700099I09Rik	0	0	0	0	0	0
1700100I10Rik	0	0	0	0	0	0
1700100L14Rik	0	0	0	0	0	0
1700101I11Rik	10.326	3.982	7.847	21.57	15.054	20.219
1700101I19Rik	0	0	0	0	0	0
1700101O22Rik	0	0	0	0	0	0
1700102F20Rik	0	0	0	0	0	0
1700102H20Rik	1.055	0	1.07	4.564	1.985	5.804
1700102P08Rik	8	12	5	16	7	10
1700104B16Rik	0	0	0	0	0	0
1700104L18Rik	0	0	0	0	0	0
1700105G05Rik	0	0	0	0	0	0
1700105P06Rik	6.262	6.661	2.144	12.209	5.172	9.447
1700106O07Rik	0	0	0	0	0	0
1700108F19Rik	0	0	0	0	0	0
1700108J01Rik	0	0	0	0	0	0
1700108N06Rik	0	0	0	0	0	0
1700108N11Rik	0	0	0	0	2.77	0
1700109G14Rik	0	0	1	3	0	0
1700109G15Rik	0	0	0	0	0	0
1700109H08Rik	30	32	40	42	29	58
1700109I08Rik	0	0	0	0	0	0
1700109K24Rik	1	0	0	0	0	0
1700110C19Rik	0	0	1	0	0	0
1700110I01Rik	0	0	0	0	0	0
1700110I07Rik	0	0	0	0	0	0
1700110K17Rik	1	0	3	0	1.025	0
1700111E14Rik	0	0	0	0	0	0
1700111N16Rik	0	0	0	0	0	0
1700112D23Rik	0	0	0	0	0	0
1700112H15Rik	0	0	0	0	0	0
1700112J05Rik	0	0	0	0	2	1
1700112J16Rik	1	0	1	0	2	0
1700112K13Rik	0	0	0	0	0	0
1700112L15Rik	0	0	0	0	0	0
1700112M02Rik	0	0	0	0	0	0
1700113A16Rik	7.983	7.912	12.138	18.235	6.388	12.529
1700113B09Rik	0	0	0	0	0	0
1700113B19Rik	0	0	0	0	0	0
1700113H08Rik	0	0	0	0	0	0
1700116B05Rik	0	0	0	0	0	0
1700116H05Rik	0	0	0	0	0	0
1700119H24Rik	0	0	0	0	0	0
1700119I11Rik	0	0	0	0	0	0
1700120B22Rik	2.006	1.88	0	3.316	3.911	6.309
1700120C14Rik	1	3	4	6	0	8.018
1700120C18Rik	0	0	0	0	0	0
1700120E14Rik	0	0	0	0	0	0
1700120G07Rik	0	0	0	0	0	0
1700120G11Rik	0	0	0	0	0	0
1700120K04Rik	0	0	2.677	0	0	1.31
1700120O09Rik	0	0	0	0	0	0
1700121C08Rik	0	0	0	0	0	0
1700121L03Rik	0	0	0	0	0	0
1700121L16Rik	0	0	0	0	0	0
1700121N20Rik	0	0	0	0	0	0
1700122C19Rik	0	0	0	0	0	0
1700122D07Rik	0	0	0	0	0	0
1700122E12Rik	0	0	1	1	0	1
1700122H20Rik	0	0	0	0	0	0
1700122O11Rik	0	0	0	0	0	0
1700123J17Rik	0	0	0	0	0	0
1700123K08Rik	0	0	0	0	0	0
1700123M08Rik	1	5	3	3	4	4
1700123O12Rik	0	0	0	0	0	0
1700123O20Rik	193.449	275.906	238.533	244.196	214.146	331.507
1700123O21Rik	0	0	0	0	0	0
1700124L16Rik	1	3	0	3	2	1
1700124M09Rik	0	0	0	0	0	0
1700125G02Rik	0	0	0	0	0	0
1700125G22Rik	0	0	0	0	0	0
1700125H03Rik	0	0	0	0	0	0
1700126A01Rik	0	0	0	0	0	0
1700126G02Rik	1.001	0	0	0	1	0
1700126H18Rik	0	0	0	0	0	0
1700127F24Rik	0	0	0	0	0	0
1700128A07Rik	0	0	0	0	0	0
1700128E19Rik	0	0	0	0	0	0
1700128F08Rik	0	0	0	0	0	0
1700128I11Rik	0	0	0	0	0	0
1700129C05Rik	0	0	0	0	0	0
1700129L04Rik	0	0	0	0	0	0
1810006J02Rik	0	0	0	0	0	0
1810007C17Rik	0	0	0	0	0	0
1810007D17Rik	0	0	0	0	0	0
1810008B01Rik	0	0	0	0	0	0
1810008I18Rik	0	0	0	0	1	0
1810009A15Rik	165.206	227.415	216.413	254.085	222.555	282.743
1810009J06Rik	0	0	0	0	0	0
1810010H24Rik	8	11	10	14	12	11
1810010K12Rik	0	0	0	0	0	0
1810012K08Rik	1.454	4.294	4.662	3.45	0	3.519
1810012K16Rik	0	0	0	0	0	0
1810013D15Rik	0	0	0	1	0	0
1810014B01Rik	10.471	6.416	23.453	13.504	20.454	19.749
1810014P07Rik	0	0	0	1	1	1
1810017P11Rik	0	0	0	0	0	0
1810018F18Rik	0	0	0	0	0	0
1810019D21Rik	2	2	3	10	5	5.859
1810019N24Rik	0	1	1	0	2	4
1810021B22Rik	2	8	6	1	5	10
1810024B03Rik	6	5	3	5	7	4
1810028F09Rik	0	0	0	0	0	0
1810030O07Rik	475	681	639	706	735	1034
1810034E14Rik	17	14	11	22	13	36
1810035K13Rik	0	0	0	0	0	0
1810037I17Rik	549	879	731	867	783	915
1810041H14Rik	0	1	0	0	1	0
1810044D09Rik	1	2	2	0	1	2
1810044K17Rik	0	0	0	0	0	0
1810049I09Rik	0	0	0	0	0	0
1810049J17Rik	40.245	45.902	34.463	86.225	40.007	55.263
1810053B23Rik	0	0	0	0	0	0
1810055G02Rik	111	129	164	133	159	195
1810058N15Rik	0	0	0	0	0	0
1810059C17Rik	0	0	0	0	0	0
1810059H22Rik	0	0	1	0	0	0
1810062G17Rik	0	0	0	1	0	0
1810062O18Rik	0	2	2	2	3	3
1810063I02Rik	0	0	0	0	0	0
1810064F22Rik	0	0	0	0	0	1
1810065E05Rik	0	0	0	0	0	0
1810073O08Rik	0	0	0	0	0	1
2010001A14Rik	0	1	2	5	2	5
2010001K21Rik	3	2.039	2.275	2.057	0	3.102
2010001M07Rik	0	0	0	0	0	0
2010002M09Rik	0	0	0	0	0	0
2010003K11Rik	0	0	0	0	0	0
2010004M13Rik	17	19	31	23	21	22
2010007H06Rik	0	2	1	0	1	2
2010008C14Rik	1	9	13	5	0	3
2010009K17Rik	0	0	0	0	0	0
2010010A06Rik	0	0	0	0	0	0
2010013B24Rik	0	0	0	1	0	0
2010016I18Rik	88	64.494	85	101.866	60	154.399
2010103J01Rik	0	0	0	0	0	0
