gene	T78_TMZ	T78	T86_TMZ	T86	T111_TMZ	T111
ABCG5	-3.60823228	-1.905088353	-0.450084446	-1.418889825	-0.873027144	-3.070966521
ABCG8	-3.60823228	-1.905088353	-0.619270551	0	-1.873027144	0
ABHD1	0.204140717	0.899948986	1.286881148	0.579180148	0.805705185	0.509949146
ABHD10	6.541282508	7.093612992	5.097400107	5.279768422	5.465484779	5.144658243
ABHD11	3.992768431	3.59275601	3.121181218	3.556674647	4.21916852	4.313463546
ABHD12	5.455951842	5.371349761	5.250052025	5.480200484	4.992859049	5.102910035
ABHD12B/MIR4454	-0.902389203	0.180147861	1.023610215	0.579180148	0.448900951	0.173767068
ABHD13	4.704982596	3.800226917	5.618121168	5.536457047	4.072277335	3.942326825
ABHD14A	0.644317778	1.765534746	1.839153387	2.988775562	1.955312803	1.758303177
ABHD14A-ACY1/ACY1	-2.279283757	0	-2.61705613	-0.836501268	-1.194294815	-0.751465164
ABHD14B	3.677395483	3.736821317	2.160920188	2.13389227	2.913990393	2.969933275
ABHD15	3.489414485	3.76532257	2.134549534	1.827412574	4.043869408	3.914181795
ABHD16A/LY6G6E	4.987184413	4.916285546	4.493455201	4.812960224	5.125155131	5.236071611
ABHD16B	-1.142417045	-1.905088353	-0.298672743	-0.098505545	-0.386468347	0.012926174
ABHD2	8.886464793	8.741945558	8.437356759	8.704757866	8.444389612	8.457586084
ABHD3	4.994670229	4.903472171	4.316362999	4.405924306	4.950141764	4.666926979
ABHD4	5.652830636	5.439423673	4.793323684	4.883132016	4.765481705	4.666926979
ABHD5	6.127942749	5.694685221	6.095671293	6.026423847	5.787066729	5.644865723
ABHD6	4.033246784	3.414812061	3.839153387	3.846092094	3.898305109	4.139796897
ABHD8	-0.144010303	-1.586405918	-1.035046947	-1.098505545	1.015069322	-0.490050854
ABI1	6.284606668	6.106934526	5.265399388	5.133933358	5.229664823	5.405243597
ABI2	8.834888155	9.303735093	8.681772514	8.7866617	8.448682119	8.31079907
ABI3	-4.60823228	-1.586405918	-0.298672743	0	-0.49410907	0
ABI3BP	0.151858817	1.3021728	1.806117796	0.971589536	1.297484916	-0.373327247
ABL1	6.781936676	7.406927767	6.445792905	6.90014226	6.545288858	6.662718215
ABL2	7.246408087	7.154959841	5.259272487	5.357411247	6.028303927	6.312411053
ABLIM1	7.939408784	7.648458253	5.552131108	5.610020834	5.740657772	5.925477296
ABLIM2	-0.080087911	-0.205896101	0.839153387	0.82700601	1.449429314	0.732920382
ABLIM3	-4.60823228	-0.736965594	1.934327778	-0.420819852	1.015069322	-0.373327247
ABO	0	-1.905088353	0.701327257	0	-0.194294815	0
ABP1	-4.60823228	-1.586405918	-0.619270551	0	-0.873027144	-4.083141235
ABR	6.515557927	6.554389316	4.975905274	5.168040252	3.043869408	3.291750885
ABRA	-4.60823228	-1.321928095	-0.619270551	-3.426625474	0.390667686	-0.905088353
ABRACL	4.782460987	4.19093086	3.655809754	3.846092094	3.336854639	3.023432795
ABT1	3.273068242	3.222186307	3.79753184	4.164303583	4.386673015	4.326321618
ABTB1	0.644317778	0.847996907	-1.035046947	-1.098505545	1.264836648	1.597888675
ABTB2	4.888451028	3.880783465	3.174086779	3.437360921	3.014890848	3.247471854
ACACA	8.147530576	8.953806497	7.099947384	7.188519614	8.026484712	8.046687492
ACACB	3.955033761	4.017743787	4.268434394	4.405924306	4.405447844	4.125155131
ACAD10	5.227933566	4.944671071	4.418594763	4.307282791	4.543619608	4.480071198
ACAD11/NPHP3/NPHP3-ACAD11	4.242068923	4.047102094	2.822730148	3.055022076	4.336854639	4.351769652
ACAD8	5.43005105	5.020679983	5.325134526	5.468094516	4.895593458	4.81424278
ACAD9	5.476090008	5.54618451	4.362680281	4.279768422	5.007644031	5.21089534
ACADL	0.605968359	-1.321928095	0.772307975	0.279768422	-0.194294815	-2.077041036
ACADM	6.754713834	6.57167681	6.985181618	6.920305211	6.416518882	6.411307598
ACADS	2.096936483	1.950841638	0.186500558	0.82700601	1.849999259	2.173447286
ACADSB	6.09619859	5.487389875	4.780572574	4.461986859	4.02467428	4.229280279
ACADVL	7.056616041	6.928962441	6.769877505	6.863591607	6.782067772	6.851024389
ACAN	-3.60823228	-0.584241333	-0.450084446	-1.418889825	0.053806444	-0.373327247
ACAP1	-0.281035664	0.616357697	0.379620962	-0.098505545	0.448900951	-0.168122759
ACAP2	7.747279972	7.391544343	7.273767631	7.307264573	7.355765124	7.349117541
ACAP3	2.177917792	2.302465287	4.127880861	4.997202067	4.833396134	5.258631984
ACAT1	7.000709902	6.666557782	6.152852681	6.126229518	6.380088709	6.399188187
ACAT2	5.163136403	6.634970736	5.824716946	6.184815849	7.061711404	7.394608457
ACBD3	8.203367581	7.259705607	6.616916363	6.501184342	6.61205756	6.649989017
ACBD4	2.164786278	2.092883966	1.023610215	0.901494455	1.955312803	1.991680562
ACBD5	7.356980091	7.207951401	5.706143719	5.769163437	6.092059405	6.17813697
ACBD6	5.536177265	5.423813447	4.328046556	4.568032105	4.995348836	5.049587207
ACBD7	6.145657078	6.226046053	4.472487771	4.607271125	5.635232002	4.748836886
ACCS	2.026091814	1.820893749	0.466757616	-0.420819852	1.736388401	1.351628329
ACCSL	0	-2.321928095	0.379620962	-3.426625474	-1.873027144	0
ACD	1.700439718	1.900335509	2.310340121	2.579421543	2.975446766	3.238328303
ACE	-1.603840511	-2.321928095	-3.625934282	0	0.126972856	-3.070966521
ACE2	-2.017417053	-0.907792562	0.701327257	-0.836501268	0.390667686	-0.373327247
ACER1	0	-3.899695094	-1.035046947	0	-1.60823228	0
ACER2	5.795351365	3.692873507	2.023610215	1.901108243	0.805705185	-0.267079618
ACER3	6.213600023	6.045661386	5.95144792	6.053046153	5.858080488	5.935294724
ACHE	2.096936483	-0.321928095	2.212569339	3.038787331	0.975263322	0.732920382
ACIN1	7.233849723	7.499646606	7.414499206	7.526248824	7.400290287	7.629808302
ACLY	8.511985838	9.316763481	7.078407027	7.174596171	8.499208091	9.110814746
ACMSD	-4.60823228	-1.586405918	-0.450084446	-1.418889825	-1.023269779	-1.490050854
ACN9	5.133029156	4.493775408	3.830965137	3.963011648	4.244278199	4.095418122
ACO1	6.577141771	6.685365534	5.943851018	6.087144565	4.863492494	5.092883966
ACO2	5.174686045	4.947759653	5.376880734	6.075190314	6.095523616	6.328495421
ACOT1/ACOT2	4.727539315	4.779417326	3.855391772	3.883132016	3.980390956	3.980756519
ACOT11	-0.281035664	-0.907792562	1.187134291	0.667210912	1.420078116	1.054501216
ACOT12	0.484395963	0.263034406	1.079975377	-0.098505545	1.586884813	0.783247097
ACOT13	5.534902016	5.357340863	5.851374267	5.808153336	5.3543111	5.095418122
ACOT4	-3.023269779	-1.586405918	-0.619270551	-2.418889825	-1.60823228	-4.083141235
ACOT6	-2.59946207	-1.098505545	-2.035046947	0	-2.60823228	-4.083141235
ACOT7	4.315493775	4.185707999	4.362680281	5.038787331	4.470862199	4.576522138
ACOT8	2.605968359	2.222186307	3.147957881	3.677395483	3.171847314	3.10534284
ACOT9	4.714025662	5.035447961	5.087080901	5.030556792	4.892973815	4.91981677
ACOX1	8.751416855	8.447988244	7.116104792	7.150143298	7.004557571	6.758369809
ACOX2	1.011495639	0.180147861	3.147957881	3.194087052	4.49198133	3.947853143
ACOX3	2.920102707	3.23250727	3.052068047	3.590602019	4.019790857	3.801986364
ACOXL	-4.60823228	-1.586405918	-0.450084446	-2.418889825	-0.610433188	-3.070966521
ACP1	6.930914707	6.979373746	6.904243227	7.095038283	6.494623615	6.305934052
ACP2	5.606057221	5.44605768	5.225197795	5.418561033	5.476154831	5.611969066
ACP5	-3.60823228	-1.098505545	-1.035046947	-2.418889825	-1.60823228	-4.083141235
ACP6	3.171366976	3.262884117	3.871547984	3.556674647	2.724431996	2.229280279
ACPL2	5.378199468	4.628190335	5.58183327	5.495215464	5.769851064	6.128829527
ACPP	-3.023269779	-0.205896101	-1.621488377	-3.426625474	-0.610433188	0
ACPT	-1.017417053	-1.586405918	0.186500558	0.486456956	0.390667686	0.832687516
ACR	-2.59946207	-2.321928095	-0.161653263	-3.426625474	-0.734563104	0
ACRBP	-2.279283757	-0.907792562	0.186500558	-1.098505545	-0.024736678	-1.490050854
ACRC	1.303342394	0.736388401	1.423847055	1.22342255	1.162854528	1.417379976
ACRV1	-2.017417053	0.616357697	0.379620962	-0.836501268	0.328836464	-0.614845103
ACSBG1	4.069014678	3.441616269	5.3425903	5.954382453	4.647832543	4.70354372
ACSBG2	-0.516635639	1.820893749	1.079975377	0.486456956	1.849999259	1.012926174
ACSF2	3.745344912	3.834407842	2.134549534	1.971589536	3.892973815	3.265286858
ACSF3	2.350780101	2.359802261	2.212569339	2.769136983	3.281253134	3.210856386
ACSL1	5.58520293	5.485233596	4.822628187	4.822526219	5.438492473	5.289613176
ACSL3	8.881692147	9.150734824	8.708097548	8.837025502	9.007932698	9.261425035
ACSL4	6.787863391	6.489510824	5.567058626	5.579331025	5.578636862	5.631104282
ACSL5	-0.603840511	0.551885103	1.023610215	-0.420819852	0.390667686	-0.751465164
ACSL6	5.857060362	4.987730148	2.608572716	2.164464499	3.442147307	3.085424656
ACSM1	-4.60823228	-0.448114897	0.186500558	-3.426625474	-0.734563104	-1.751465164
ACSM2A/ACSM2B	0	-0.205896101	1.964583463	-3.426625474	0.975263322	0
ACSM3	-3.023269779	0	0.379620962	-3.426625474	0.053806444	-1.074000581
ACSM4	-4.60823228	-1.905088353	1.023610215	-2.418889825	-0.873027144	-3.070966521
ACSM5	-0.281035664	-0.736965594	-0.161653263	0	0.126972856	0
ACSS1	5.503825738	6.119439184	6.424099087	6.871671185	4.223345316	4.309176187
ACSS2	5.525912261	5.980139578	5.591589665	5.521867363	5.010063683	5.22237954
ACSS3	5.874378947	4.897046762	6.635913973	6.308957845	5.552008111	5.631104282
ACTA1	0	0	-2.61705613	-2.418889825	-2.19759996	-2.490050854
ACTA2	6.492670392	4.696550301	4.429549016	4.071161993	3.794207895	3.680324357
ACTB	11.41522997	11.61365366	11.9872363	12.05152675	11.81886853	11.92826853
ACTBL2	0	-1.586405918	-0.298672743	0	-1.388355457	-4.083141235
ACTC1	0	-2.321928095	0.549915554	0	-0.873027144	0
ACTG1	11.29550149	11.32161811	10.29390152	10.57466921	10.29654115	10.56588939
ACTG1P4/AMY1A/AMY1B/AMY1C/AMY2A/AMY2B/RNPC3	3.784608674	3.670387157	3.926568791	3.954382453	3.822322261	3.604901584
ACTG2	-3.023269779	-1.098505545	0.701327257	-3.426625474	1.232046713	0.732920382
ACTL10	-1.603840511	-1.586405918	-1.2968993	-1.836501268	-0.610433188	-1.268816758
ACTL6A	5.839556544	6.44605768	6.61092148	6.633271354	6.678170523	6.663572335
ACTL6B	0	-1.905088353	-0.035046947	-3.426625474	-0.10780329	0
ACTL7A	0	-2.910501849	-1.035046947	0	-4.184424571	0
ACTL7B	0	0	-3.625934282	-3.426625474	-4.184424571	0
ACTL8	0	-3.899695094	-1.2968993	0	-1.873027144	0
ACTL9	0	0	-2.61705613	0	-1.388355457	0
ACTN1	7.706378595	7.050741111	6.425459305	6.552330956	6.631249825	6.933903061
ACTN1-AS1	-3.60823228	-2.321928095	-2.61705613	0	-2.60823228	-4.083141235
ACTN2	5.058403089	3.75819656	1.737254104	1.102993993	2.344544474	2.583759754
ACTN3	-2.59946207	-1.905088353	0.079975377	-3.426625474	-1.023269779	-4.083141235
ACTN4	7.344988235	7.335488615	6.35123962	6.809362992	7.06642291	7.391552935
ACTR10	6.398726593	5.824233234	5.803872798	5.916954279	6.05343721	6.066304502
ACTR1A	7.053936739	7.272825708	6.218916753	6.388310101	5.933501824	5.946450153
ACTR1B	5.138077209	5.355016264	4.608513578	5.10680893	5.431221784	5.56208975
ACTR2	9.214598403	9.158496086	8.794653047	8.898450233	8.985565892	8.932326974
ACTR3	8.601492249	8.155293867	8.230673765	8.171802289	8.034919984	8.083771826
ACTR3B	5.691227057	5.156315709	4.43496176	4.601696516	3.65729701	3.540151292
ACTR3BP2/ACTR3BP5	-4.60823228	-0.584241333	1.46727948	-3.426625474	-0.10780329	0
ACTR3C	-1.795859283	-0.321928095	-1.035046947	0	-0.49410907	0
ACTR5	2.011495639	2.736821317	3.456543339	3.510075782	2.794103899	3.163820726
ACTR6	5.735359702	5.512858954	5.934304186	5.971658505	5.980436657	6.012948515
ACTR8	6.368157204	6.325332442	6.196685723	6.154878853	5.960326357	6.031373139
ACTRT1	0	-3.899695094	-3.625934282	0	-3.19759996	0
ACTRT2	0	0	0	-3.426625474	-2.60823228	0
ACTRT3	-4.60823228	-2.910501849	-1.2968993	-3.426625474	-2.60823228	-3.070966521
ACVR1	3.615769394	3.925809578	2.71962155	2.334282225	2.519793486	3.012926174
ACVR1B	5.058403089	5.550285049	5.399307836	5.504143652	4.947619406	5.427304462
ACVR1C	-3.60823228	-1.098505545	1.771885579	-1.418889825	0.50589093	-4.083141235
ACVR2A	6.271593752	6.1670568	5.676605923	5.903520374	5.027109807	5.173407308
ACVR2B	5.509062386	6.235018556	7.22754856	7.283245814	5.815319246	6.030071177
ACVR2B-AS1	0.204140717	0.899948986	0.379620962	-0.098505545	0.265436896	-0.168122759
ACVRL1	-2.59946207	-1.321928095	-0.035046947	-3.426625474	-0.610433188	0
ACY3	-4.60823228	-1.321928095	-3.625934282	0	-3.19759996	0
ACYP1	3.435495252	4.28273632	4.822628187	4.832029202	4.927043097	4.60496087
ACYP2	3.054848477	2.047189364	3.74599022	3.749319725	3.599912842	3.182851176
ACAA1	5.119439184	4.302392171	4.18705509	4.431088034	4.887671482	4.991544521
ACAA2	6.089222704	6.651338766	5.218897385	5.10680893	4.519730595	4.47625206
ADA	5.569035317	5.156315709	4.134631671	4.545103481	3.305386906	3.023432795
ADAD1	0	-1.098505545	-0.161653263	-3.426625474	-0.610433188	0
ADAD2	0	0	-2.61705613	-3.426625474	-2.60823228	0
ADAL	3.83541884	3.624334889	4.911068356	4.734167661	4.616063576	4.168642036
ADAM10	8.169343799	8.258132571	7.892445672	7.880269209	7.864848518	8.143128073
ADAM11	1.9202933	1.925619712	0.379620962	0.901494455	1.663572335	1.510455622
ADAM12	6.182076479	5.622344723	5.985181618	5.774101781	6.29234004	6.593473293
ADAM15	5.435528589	5.376012488	3.424115888	4.286733323	5.367755454	5.397152644
ADAM17	7.524612232	7.319328904	6.436345097	6.589179221	6.801973435	7.080295239
ADAM18	0	-1.098505545	0.466757616	-3.426625474	-0.386468347	0
ADAM19	6.265436896	5.328944145	8.556498391	8.592318741	8.497245099	8.359059888
ADAM1A	3.138159145	3.414812061	3.199907868	2.901301362	2.313245852	2.334854269
ADAM2	0	-2.910501849	-0.035046947	-3.426625474	-0.386468347	0
ADAM20	-1.434402824	-0.205896101	1.023610215	-0.251538767	-0.024736678	-0.490050854
ADAM20P1	-2.279283757	-0.584241333	0.839153387	-0.612637459	0.265436896	-1.074000581
ADAM21	-0.080087911	-0.321928095	0.627606838	-0.420819852	0.612588407	-0.751465164
ADAM21P1	-3.60823228	-2.910501849	-1.2968993	0	-4.184424571	0
ADAM22	6.284606668	6.322937628	6.542087765	6.577927265	6.179451335	6.087865891
ADAM23	4.720770955	4.441616269	4.911068356	4.887671482	5.102406184	5.291787714
ADAM28	-2.017417053	0.340277405	0.964953053	-1.418889825	0.712815854	0.317304068
ADAM29	-3.60823228	-0.584241333	0.701327257	-3.426625474	-0.873027144	0
ADAM30	0	-2.910501849	-0.161653263	-3.426625474	-0.873027144	0
ADAM32	1.124328135	0.847996907	3.737254104	3.645471104	2.816804475	2.625971791
ADAM33	-3.60823228	-1.905088353	-1.621488377	-2.418889825	-1.194294815	-1.751465164
ADAM3A	0	-0.907792562	0.079975377	0	-1.388355457	0
ADAM5	0	-2.910501849	0.186500558	-2.418889825	-1.873027144	0
ADAM6	0	-1.905088353	-1.621488377	0	-1.60823228	0
ADAM7	-4.60823228	-0.907792562	1.079975377	-3.426625474	-0.734563104	0
ADAM8	-1.282789701	-2.910501849	-2.61705613	-3.426625474	-2.19759996	-2.490050854
ADAM9	9.672085844	8.937420904	9.41828062	9.345664709	9.882568162	10.16879871
ADAMDEC1	0	-1.586405918	0.549915554	-2.418889825	-1.388355457	0
ADAMTS1	6.228722508	6.363206128	5.100809492	5.303853794	4.509379149	5.688683927
ADAMTS10	-1.434402824	0.551885103	1.589284107	1.386810946	2.420078116	2.693765712
ADAMTS12	0	0.180147861	1.286881148	0	0.612588407	-0.614845103
ADAMTS13	1.789103218	1.046840254	0.701327257	0.486456956	2.163176666	1.991680562
ADAMTS14	3.273068242	0.093560176	-1.035046947	-2.418889825	1.914181795	2.495439343
ADAMTS15	3.615769394	3.639810978	1.737254104	1.623866862	1.197865391	0.625738062
ADAMTS16	-1.142417045	-0.736965594	0.186500558	-2.418889825	0.197865391	-2.490050854
ADAMTS17	-3.023269779	-0.907792562	0.772307975	0	0.053806444	0
ADAMTS18	-3.60823228	-0.907792562	1.286881148	-1.418889825	1.328836464	-0.267079618
ADAMTS19	-3.60823228	-0.736965594	0.627606838	-1.418889825	0.975263322	0.385154897
ADAMTS2	-4.60823228	0	0.286881148	-1.418889825	-0.49410907	-3.070966521
ADAMTS20	-3.023269779	-0.100051014	2.052068047	-2.418889825	0.805705185	-4.083141235
ADAMTS3	8.428489988	8.608365723	7.550877584	7.564477251	7.133614897	7.583240759
ADAMTS4	-3.023269779	-1.321928095	1.994579724	1.579180148	1.995303605	1.095586908
ADAMTS5	5.83020461	5.4548668	1.903423966	1.164142649	3.034391815	2.902845384
ADAMTS6	3.379620962	3.544114402	2.754673754	2.005759269	3.100136671	2.433226548
ADAMTS7	4.285328233	2.76532257	0.772307975	1.486456956	2.109360559	3.023432795
ADAMTS8	-2.017417053	-2.910501849	-0.298672743	-2.418889825	-1.023269779	0
ADAMTS9	6.935294724	6.905086099	8.125377306	7.986080944	9.208514821	9.655095971
ADAMTS9-AS2	-0.696657606	0	1.079975377	0.579180148	1.687956494	2.401084302
ADAMTSL1	4.368139739	3.476640909	0.379620962	-0.836501268	0.126972856	-0.373327247
ADAMTSL2/LOC100996396	0	-3.899695094	-2.61705613	0	-0.873027144	-4.083141235
ADAMTSL3	0	-0.448114897	1.964583463	-2.418889825	1.09085343	-4.083141235
ADAMTSL4	0.950841638	1.3021728	1.023610215	1.666756592	1.892973815	1.758303177
ADAMTSL5	-1.603840511	-1.321928095	-0.813499442	-3.426625474	0.197865391	-0.373327247
ADAP1	-3.023269779	-1.905088353	-2.035046947	-3.426625474	-0.610433188	-0.168122759
ADAP2	0.097610797	0.340277405	-0.450084446	-2.418889825	0.612588407	-1.074000581
ADAR	8.728093976	9.132173239	8.027159582	8.081680489	8.218073981	8.284403084
ADARB1	2.054848477	2.396707521	2.887525271	3.223268078	0.712815854	0.879705766
ADARB2	-3.023269779	-0.584241333	0.079975377	0	-1.60823228	0
ADARB2-AS1	0	0	-2.61705613	0	-4.184424571	0
ADAT1	5.356601624	5.586764743	4.830914448	4.75926238	4.957775336	4.601458821
ADAT2	3.499909651	4.087293102	4.009078389	4.030512652	3.876958896	3.554834396
ADAT3/SCAMP4	4.588924467	4.820842705	3.488257913	4.179272174	3.980390956	4.326321618
ADC	0.644317778	0.485426827	1.549422746	1.386810946	1.50589093	1.879705766
ADCK1	2.754246162	2.632035504	2.589044357	2.769136983	2.329123596	2.417379976
ADCK2	4.270080366	4.608631851	3.539531071	3.963011648	4.654149082	4.716661725
ADCK3	4.797479962	2.834306703	2.286585483	2.72900887	3.694211608	3.495311416
ADCK4	3.478713002	3.76532257	3.569491092	4.022279029	3.771251752	4.283032775
ADCK5	0.888304895	0.263034406	0.379620962	0.82700601	1.197865391	1.569491092
ADCY1	3.339137385	4.087293102	2.887525271	2.13389227	7.319229536	7.682868211
ADCY10	-4.60823228	-0.736965594	1.023610215	-1.098505545	1.360083296	-2.490050854
ADCY10P1	0.681674142	0.340277405	1.023610215	0.038436182	1.560225822	0.509949146
ADCY2	2.709511214	2.820893749	2.187134291	0.579180148	1.197865391	-4.083141235
ADCY3	4.151534141	4.782932705	3.627606838	4.279768422	5.046272771	5.080273917
ADCY4	0	-1.905088353	0.466757616	-3.426625474	0.328836464	0
ADCY5	0.754459974	0.551885103	0.186500558	-0.098505545	1.09085343	0.317304068
ADCY6	6.996524332	6.781162969	5.641806107	6.024364009	5.514595715	5.718252016
ADCY7	2.97397856	3.242602506	2.772096792	2.788894479	3.297338174	3.034039594
ADCY8	-0.281035664	2.779469857	1.771885579	2.437227739	0.805705185	0.569491092
ADCY9	4.559002266	4.612529433	3.754780632	3.98020814	4.9552663	5.077755714
ADCYAP1	-4.60823228	-2.321928095	-0.619270551	-3.426625474	-1.60823228	0
ADCYAP1R1	7.142290893	7.884890923	6.742747316	7.34006372	6.873604061	7.084712736
ADD1	6.534248403	6.750231312	7.439049602	7.521121425	7.677409579	7.930749163
ADD2	5.658725619	6.545149827	3.646508309	3.57930085	6.135288599	6.275305094
ADD3	7.5833536	7.601198796	4.895399573	4.832029202	5.30932173	4.859174456
ADGB	-3.60823228	-1.586405918	0.772307975	0	0.612588407	0
ADH1A	-3.023269779	-2.321928095	-0.619270551	0	-1.60823228	0
ADH1B	0	-2.321928095	-1.2968993	0	-2.60823228	-4.083141235
ADH1C	-3.60823228	-2.321928095	-0.619270551	0	-1.60823228	0
ADH4	-0.516635639	-1.098505545	-0.298672743	-0.251538767	-0.734563104	-4.083141235
ADH5	8.146487216	8.384947757	7.701070759	7.736056861	7.710138301	7.665677007
ADH6	0.039840265	1.046840254	1.237563718	-0.420819852	0.663572335	-1.490050854
ADH7	0	-2.910501849	-0.450084446	-3.426625474	-0.734563104	-4.083141235
ADHFE1	-0.281035664	-0.205896101	0.839153387	-1.098505545	-0.024736678	-2.077041036
